Device,Wattage (W),Quantity,Hours/Day,Days/Month,Energy (kWh/Month)
Heater,1475,7,8.7,21,1876.94
Projector,1245,19,8.8,25,5188.49
Ceiling Fan,1656,2,7.3,30,722.08
Water Cooler,797,7,11.6,24,1551.23
Printer,1230,1,6.6,29,235.9
Water Cooler,1081,18,10,24,4690.06
Smartboard,21,1,8.3,15,2.61
AC (1.5 Ton),1006,17,1.4,13,318.48
Ceiling Fan,1175,13,2.3,30,1057.35
Water Cooler,1670,1,5,28,231.94
Fridge,1211,2,2.6,11,68.58
Smartboard,768,14,3.7,20,788.98
WiFi Router,1153,19,11.5,15,3763.49
Tube Light,1004,12,6.5,20,1554.68
Projector,546,5,11.9,30,972.71
Fridge,795,15,4.8,11,623.84
Heater,108,1,5.1,15,8.28
Water Cooler,29,17,10.6,25,130.11
Smartboard,1162,14,1.9,15,473.81
Smartboard,671,13,1.5,24,303.57
Water Cooler,770,18,5.1,26,1844.04
Smartboard,1894,5,10.1,25,2398.81
Heater,969,9,5.3,28,1304.69
Smartboard,445,17,3.2,24,583.9
Lab Equipment,340,6,8.9,14,254.28
Fridge,149,10,8.2,10,121.47
WiFi Router,706,5,6.1,18,389.58
Computer,1807,20,1.5,29,1533.83
AC (1.5 Ton),233,3,7.9,13,72.12
Projector,1744,10,4.2,30,2210.06
Heater,60,13,3.7,22,63.02
Projector,1584,7,3.9,22,955.4
AC (1.5 Ton),860,9,3.5,26,709.12
AC (1.5 Ton),555,7,3.5,26,348.97
Lab Equipment,297,2,2.7,28,44.46
Computer,1073,15,9.5,11,1687.58
Smartboard,278,15,6.3,18,470.69
Ceiling Fan,315,5,10.8,24,410.02
Computer,456,12,7.8,27,1145.94
Fridge,461,1,11.7,16,86.63
LED Light,692,13,11.9,11,1179.14
WiFi Router,1694,5,9.4,12,952.12
Printer,894,20,2.8,21,1033.9
Fridge,1020,2,6.5,12,158.08
Heater,597,13,5.9,19,868.65
Projector,756,5,3.1,29,341.54
Fridge,1645,11,9.6,26,4494.57
Computer,1194,5,9,18,967.97
Lab Equipment,1564,8,7.9,28,2766.3
Lab Equipment,1729,13,9.5,25,5346.12
Tube Light,1106,12,5.4,16,1146.04
Water Cooler,941,5,8.4,12,473.31
Lab Equipment,1944,19,6.8,19,4792.68
LED Light,1722,15,1.6,23,927.19
Water Cooler,368,17,3.9,21,518.66
Projector,1029,4,6.3,28,730.54
Fridge,1969,6,11.4,12,1617.43
Fridge,1660,2,6.5,18,388.77
Tube Light,1806,13,7.2,12,2030.92
Heater,517,7,6.1,28,618.54
AC (1.5 Ton),623,18,9,27,2721.83
Lab Equipment,1641,18,1.9,13,747.04
Printer,871,9,11.3,11,976.82
Tube Light,1664,1,11.1,22,404.95
Projector,487,7,1.2,14,56.8
LED Light,1578,15,1.5,14,481.62
LED Light,805,15,6.5,29,2274.42
LED Light,526,12,6.1,22,848.19
Heater,825,9,3.5,21,546.01
Heater,292,14,11.3,14,644.38
Printer,476,8,9.3,13,461.81
Projector,872,2,7.6,20,266.72
Tube Light,594,14,7,14,812.23
AC (1.5 Ton),522,6,11.4,13,463.51
Lab Equipment,1630,7,3,20,690.93
Computer,1633,8,6.1,17,1353.79
Computer,961,2,3.3,15,93.86
Computer,1132,6,10.7,13,940.46
Smartboard,1909,7,11.8,24,3784.87
Smartboard,1366,4,2.6,14,197.15
Lab Equipment,1885,12,2.2,15,761.85
Computer,506,16,10.5,10,847.79
Tube Light,447,19,3.5,21,630.47
Ceiling Fan,1896,14,7.4,29,5702.47
Ceiling Fan,976,18,6.9,29,3525.27
Smartboard,1674,3,3,24,358.45
Printer,809,10,4,22,715.11
Projector,520,10,9.8,29,1472.49
Tube Light,283,9,5.5,20,279.85
Lab Equipment,1254,10,9.9,18,2243.61
Lab Equipment,621,9,10,21,1174.88
Printer,42,16,11.9,30,239.4
WiFi Router,1287,13,4.1,21,1455.36
LED Light,1110,1,10.8,20,240.09
Projector,95,1,10,23,21.89
WiFi Router,804,13,7,11,804.81
Ceiling Fan,325,17,11.1,21,1290.43
Heater,570,6,7.1,25,605.82
Fridge,464,1,2.5,10,11.56
Fridge,1689,14,5.6,25,3320.42
Printer,220,7,11.9,29,531.36
Projector,1050,9,2.8,13,344.14
Heater,842,10,5.7,13,619.93
Water Cooler,982,10,4.7,28,1293.36
Tube Light,1570,12,3.5,15,982.17
LED Light,1395,4,5.4,29,874.49
Tube Light,1342,13,5,14,1213.86
Printer,1615,4,2,22,281.41
Smartboard,1962,13,7.1,14,2551.52
Smartboard,1331,9,8.9,21,2247.3
Tube Light,450,8,4.3,18,278.53
Tube Light,1996,1,5.4,25,269.22
Ceiling Fan,1505,2,1.2,14,50.88
Computer,900,4,3.2,15,172.02
Ceiling Fan,917,20,11.7,28,5985.98
Smartboard,381,3,10.2,22,255.55
Printer,1995,10,8.8,23,4028.58
Fridge,1899,17,11.7,15,5670.44
Lab Equipment,1971,19,11,28,11583.96
Water Cooler,939,12,8.1,11,1006.43
Projector,1184,13,8.7,12,1605.85
Computer,539,19,2.9,17,508.27
WiFi Router,422,8,10,21,709.2
AC (1.5 Ton),1028,3,2.7,30,248.28
Water Cooler,777,2,10.5,12,196.56
Ceiling Fan,599,18,8.9,22,2106.63
Tube Light,441,11,11,17,903.7
WiFi Router,687,6,3.6,20,294.68
Smartboard,1714,11,3.9,26,1895.97
Computer,132,4,7.6,13,52.48
Fridge,979,1,9.6,24,226.66
AC (1.5 Ton),263,9,3.6,22,185.2
Heater,1061,3,9.9,29,913.61
Computer,775,13,8.2,21,1729.73
LED Light,410,14,1.4,14,112.93
Tube Light,1269,10,5.9,11,829.15
Lab Equipment,1751,20,7.8,27,7357.03
Printer,452,10,9.7,14,616.27
Water Cooler,246,2,11.6,11,62.64
Printer,654,1,10.5,24,164.73
Fridge,1030,9,7,24,1560.6
Printer,1414,14,3.8,22,1641.08
Projector,1695,15,11.9,28,8458.76
Projector,116,6,2.5,21,36.95
AC (1.5 Ton),1528,18,4.7,26,3333.09
Lab Equipment,124,3,9.8,16,58.5
Heater,948,16,9.4,27,3848.16
AC (1.5 Ton),1207,19,2.7,18,1121.14
Smartboard,1224,10,9.1,16,1781.97
Lab Equipment,2000,4,2.4,25,473.68
Printer,1229,12,4.2,15,923.82
Water Cooler,222,19,9.4,19,757.26
WiFi Router,1803,18,11,25,8909.01
Computer,270,5,8.4,22,250.66
Heater,1397,15,3.1,16,1033.66
Heater,598,19,6.5,18,1333.67
WiFi Router,477,16,9.8,18,1341.75
Computer,1024,12,9,25,2757.95
LED Light,252,17,10.2,26,1141.37
Computer,462,11,3.5,13,231.23
Fridge,1668,12,9.9,16,3179.23
Tube Light,214,20,5.2,16,354.16
Printer,217,3,4.8,17,52.6
Tube Light,1454,5,4.7,28,950.67
WiFi Router,512,1,8.6,17,74.54
Printer,190,10,11.2,14,296.6
WiFi Router,222,8,11.1,13,257.14
Projector,1488,14,6.8,19,2678.56
WiFi Router,1417,16,11.7,10,2642.95
Ceiling Fan,1881,9,1.4,23,555.19
Heater,316,20,12,19,1435.53
Ceiling Fan,1720,20,7.6,19,4980.07
Ceiling Fan,1252,5,5.4,28,938.8
WiFi Router,903,9,2.5,18,366.51
LED Light,295,16,6.5,19,585.32
Tube Light,831,14,10.7,28,3488.39
Fridge,539,20,5.5,30,1775.57
Heater,390,5,11.2,14,305.49
Smartboard,1656,18,4.8,10,1439.05
Ceiling Fan,358,5,9.3,19,316.22
Heater,1897,15,4.9,11,1535.37
AC (1.5 Ton),206,15,10,22,678.71
Fridge,153,12,8.7,13,208.79
Smartboard,529,5,5.6,27,402.36
Fridge,1470,2,4.4,21,269.47
Water Cooler,402,16,1.8,25,295.76
Ceiling Fan,47,15,7.7,18,98.07
Smartboard,1202,16,5.3,24,2455.66
Computer,582,4,2.5,20,114.91
Projector,1498,17,7.5,12,2278.04
LED Light,1453,5,9.3,14,945.48
WiFi Router,1303,18,4.8,10,1118.34
Computer,1761,9,8.7,23,3177.07
AC (1.5 Ton),119,19,8.3,24,449.05
LED Light,237,11,6.6,13,224.87
Lab Equipment,1010,7,2.5,11,195.42
AC (1.5 Ton),389,11,9.2,22,865.17
Heater,1843,18,5.9,16,3136.77
AC (1.5 Ton),389,7,3,28,225.02
LED Light,444,7,5.2,24,384.39
AC (1.5 Ton),1144,8,4.7,29,1242.48
Water Cooler,122,20,11.6,24,677.71
Projector,237,18,9.3,10,396.16
Computer,432,12,3.7,13,249.68
Heater,1801,15,4.5,16,1933.9
Printer,1042,13,9.5,27,3481.54
Heater,521,8,5,15,311.53
Fridge,350,1,3.4,30,35.88
Lab Equipment,1230,14,2.6,22,995.56
Ceiling Fan,405,3,11.9,17,245.42
LED Light,210,20,6.5,19,519.79
Fridge,484,10,11.3,22,1199.02
LED Light,788,20,1.5,19,438.91
Tube Light,1886,1,6.3,29,344.16
Heater,1867,4,5.8,12,518.18
LED Light,280,13,9.9,24,869.03
Ceiling Fan,1918,17,9.5,28,8703.85
AC (1.5 Ton),976,9,8.8,18,1397.61
Lab Equipment,941,17,10,10,1600.73
Computer,1557,17,11.8,26,8088.81
WiFi Router,1703,10,3.9,17,1136.58
AC (1.5 Ton),91,6,8.1,10,43.97
Projector,619,18,4.1,14,641.36
Tube Light,1044,17,3,11,592.75
Printer,1996,5,11.9,23,2729.39
Computer,1781,16,5.4,20,3102.4
Water Cooler,670,12,6.8,17,929.12
Fridge,787,14,11.5,15,1895.28
Computer,578,5,3.3,26,248.89
Smartboard,1918,17,4.9,21,3352.67
Tube Light,1662,2,1.4,16,72.56
Smartboard,367,2,10.1,28,208.57
Water Cooler,610,1,2.1,20,25.1
Tube Light,946,8,11.9,27,2440.31
Fridge,1534,2,2.3,25,173.77
Computer,334,9,3.1,17,156.58
AC (1.5 Ton),61,17,5.2,24,130.08
Ceiling Fan,1972,5,3.7,28,1017.01
Water Cooler,468,12,9.1,18,924.13
Fridge,369,19,3,19,400.08
Tube Light,848,11,6.3,11,650.52
Smartboard,1192,3,2.6,12,109.95
Ceiling Fan,695,20,8,13,1437.53
Projector,1419,16,1.7,14,531.06
WiFi Router,534,4,4.4,14,130.9
Projector,496,12,8.6,17,870.8
Heater,1956,12,8.9,16,3349.96
Heater,1512,5,11,10,830.89
Water Cooler,1926,12,4.5,12,1235.97
Fridge,1509,4,6.6,21,832.93
Computer,957,16,1.4,30,631.64
Heater,108,7,5.6,25,106.37
Lab Equipment,781,8,6.4,13,522.94
Heater,981,1,2.3,18,41.05
Tube Light,1085,9,1.4,24,334.93
Fridge,1692,2,10.5,21,743.08
Ceiling Fan,460,5,3.5,30,239.8
WiFi Router,1906,11,5.8,11,1332.89
Computer,1969,12,4.1,15,1459.39
Ceiling Fan,666,14,5.1,18,848.54
Water Cooler,46,19,3.3,28,81.89
Heater,247,4,1.6,30,47.56
Tube Light,1908,8,5,30,2283.99
Projector,609,16,9.6,20,1864.17
AC (1.5 Ton),1441,14,4.1,30,2474.9
Projector,1328,9,2.5,22,658.6
Tube Light,1105,10,1.9,27,575.14
Heater,604,10,5.4,23,755.08
Water Cooler,100,10,3.2,11,35.13
Fridge,1611,10,5.3,17,1440.17
LED Light,648,12,4.8,18,669.75
Printer,490,15,8.1,16,956.37
Fridge,1953,18,2.9,25,2518.29
Computer,1760,12,7,12,1766.6
Lab Equipment,1553,19,5.2,21,3222.94
Computer,1567,6,8,19,1434.28
Tube Light,869,6,9.4,30,1476.52
WiFi Router,1707,18,10.4,25,7952.73
Computer,1950,1,6,25,294.84
LED Light,1979,20,9.8,14,5454.28
Computer,478,20,8.5,11,897.82
AC (1.5 Ton),1945,9,8.6,27,4063.76
Heater,376,18,2.2,17,254.64
Smartboard,302,13,3,26,301.52
Tube Light,586,7,6.3,21,540.55
Printer,1667,2,5.9,20,395.65
Ceiling Fan,351,3,3.5,22,79.97
Fridge,1351,2,2,10,54.27
LED Light,359,10,11.8,26,1101.53
Water Cooler,27,15,5.9,18,42.73
WiFi Router,765,13,3.6,13,459.87
Fridge,1487,19,9.6,20,5430.33
Lab Equipment,530,18,10.9,20,2083.69
Tube Light,590,16,3.2,18,545.24
Computer,1589,4,7.6,21,1008.81
Water Cooler,272,9,5,18,219.35
Tube Light,1804,5,2.9,28,741.52
Water Cooler,1607,13,1.1,12,284.39
Printer,418,5,3.6,12,91.52
Computer,635,16,5.4,25,1382.27
Ceiling Fan,523,14,4.7,13,449.43
Ceiling Fan,1432,6,11.2,30,2891.91
AC (1.5 Ton),1632,11,6.9,20,2489.28
Smartboard,1573,1,1.5,17,38.89
Fridge,482,11,1.8,25,238.18
Heater,663,18,3,14,501.92
Printer,1504,9,8.6,16,1859.25
Heater,1142,2,2.1,25,119.62
Lab Equipment,208,14,10.8,25,784.01
Water Cooler,1022,19,1.4,21,584.08
AC (1.5 Ton),1000,18,3.1,14,774.59
Heater,435,17,4.7,22,766.41
Fridge,1546,14,3.9,20,1695.57
Water Cooler,1853,20,9.3,30,10328.07
Water Cooler,723,15,5.3,20,1152.87
AC (1.5 Ton),1750,3,6.5,29,990.45
WiFi Router,1229,8,11.7,19,2179.63
Lab Equipment,420,11,4.1,19,356.94
Smartboard,76,8,6.5,27,107.07
Ceiling Fan,1733,5,2.6,15,341.25
LED Light,770,6,5.1,11,259.98
WiFi Router,860,2,4.3,14,103.53
AC (1.5 Ton),962,10,11.5,15,1660.14
Lab Equipment,368,15,11.6,20,1282
Smartboard,1033,5,3.1,14,222.76
WiFi Router,945,6,2.4,12,162.56
Lab Equipment,1565,12,1.7,14,457.24
Ceiling Fan,1449,3,9.5,17,699.48
Fridge,969,14,2.4,20,658.4
Smartboard,1668,14,10.1,15,3537.33
AC (1.5 Ton),278,18,9,27,1211.75
Heater,1902,18,9.3,25,7963
Fridge,327,15,7.5,24,882.29
Printer,893,18,5.3,19,1624.67
Water Cooler,573,5,6.5,10,185.76
Tube Light,1822,2,4.9,23,409.36
Lab Equipment,1805,2,4.1,30,442.59
Lab Equipment,420,6,9.9,14,350.57
Fridge,1024,2,7.2,13,192.01
Fridge,1044,20,3.2,11,734.53
Smartboard,1438,8,3.4,30,1187.43
Tube Light,1472,12,11.9,22,4607.12
Projector,70,18,9.3,18,211.13
AC (1.5 Ton),1217,6,6.3,25,1143.19
Projector,1351,18,11.1,26,6993.85
Smartboard,15,8,9.9,18,21.3
Ceiling Fan,1372,7,11.3,12,1307.58
AC (1.5 Ton),319,9,7.1,26,526.93
Lab Equipment,175,10,4,20,139.61
AC (1.5 Ton),174,13,4.5,18,183.3
Ceiling Fan,1353,5,5,10,339.52
Fridge,1861,14,3.6,24,2239.62
Tube Light,498,4,8.4,11,183.28
Projector,84,2,7.7,16,20.7
Ceiling Fan,1302,6,4.2,15,496.6
AC (1.5 Ton),1599,10,6.3,15,1519
Smartboard,894,3,6.9,28,518.84
Projector,1833,11,8.1,25,4083.98
Lab Equipment,863,9,2.4,10,184.31
LED Light,692,20,5.1,28,1979.83
Ceiling Fan,1767,12,11,29,6736.14
AC (1.5 Ton),417,3,5.8,26,189.65
Fridge,1061,15,4.5,25,1788.16
Printer,103,15,3.4,29,151.94
Water Cooler,957,6,4.7,23,619.14
Ceiling Fan,336,1,11.8,28,111.3
Water Cooler,1344,7,8.1,25,1900.48
WiFi Router,1161,15,5,10,865.56
Projector,372,11,11.5,11,515.46
Computer,1458,13,8.8,19,3167.09
WiFi Router,973,5,2.1,25,259.08
Heater,768,2,6.9,16,169.83
Projector,311,10,8.1,10,251.94
AC (1.5 Ton),1993,14,11.9,19,6303.85
WiFi Router,79,15,6.9,26,213.5
Fridge,221,18,7.5,24,713.82
Projector,1339,20,11.6,13,4045.33
WiFi Router,172,7,9.1,25,273.7
LED Light,1122,12,6.8,25,2278.08
Heater,515,14,6.8,24,1182.12
Lab Equipment,1396,11,8.3,10,1279.75
Printer,1686,3,11.8,15,895.04
Fridge,656,15,7.6,10,745.59
Smartboard,250,19,5.6,24,634.73
AC (1.5 Ton),725,17,7.4,22,2003.49
Fridge,1377,10,10.2,22,3078.34
Printer,430,14,5.7,21,724.35
Lab Equipment,318,9,8.2,29,684.41
Water Cooler,525,6,5.8,26,472.93
Fridge,603,2,2,11,26.7
Projector,1730,12,7.9,20,3295.29
WiFi Router,114,7,11.9,21,199.39
Printer,333,15,6.4,21,668.82
Smartboard,987,8,2.5,11,216.8
Fridge,1903,6,5.2,25,1481.71
Lab Equipment,1007,13,4.9,12,766.01
Tube Light,1837,16,6.2,25,4557.49
Tube Light,1312,17,3.3,14,1024.95
WiFi Router,55,15,9.7,26,208.06
Printer,1727,6,1.6,25,401.9
WiFi Router,279,10,9.2,14,361.3
Printer,146,5,1.5,15,16.25
Smartboard,871,15,2.1,28,770.41
Heater,934,14,7.6,14,1389.31
Computer,312,8,7.9,25,493.6
Projector,417,5,5.7,16,189.8
Fridge,1174,10,9.3,22,2411.44
Projector,1374,8,12,17,2235.6
WiFi Router,1460,5,3,18,388.58
Smartboard,1280,8,5.4,22,1207.27
Computer,681,20,7.7,19,1994.02
Water Cooler,1504,6,2.3,25,516.25
AC (1.5 Ton),1761,7,6.5,17,1371.92
Printer,433,5,1.5,29,91.26
Water Cooler,649,12,6,17,796.59
Printer,1643,15,5.7,28,3910.91
AC (1.5 Ton),1299,13,8.6,27,3909.26
Lab Equipment,621,6,11.6,14,605.8
AC (1.5 Ton),375,1,8.7,26,84.9
Heater,1194,20,4.4,20,2079.78
Ceiling Fan,359,3,10.1,20,217.99
AC (1.5 Ton),470,15,9.9,16,1114.33
Tube Light,345,19,5.5,18,645.02
WiFi Router,271,2,5.4,22,64.05
Tube Light,1331,14,5.6,15,1554.58
Projector,1810,7,1.2,11,165.69
Computer,248,12,5,17,251.38
Lab Equipment,578,12,9,25,1561.62
Ceiling Fan,729,6,9.9,26,1130.13
Smartboard,356,13,1.9,23,204.26
Smartboard,360,12,10,27,1160.6
Tube Light,884,10,6.2,22,1199.3
AC (1.5 Ton),1410,5,8.4,28,1661.05
Printer,593,8,7.3,26,903.28
Ceiling Fan,878,14,6.1,20,1493.97
Heater,52,15,4,29,89.7
Computer,1394,12,10.9,19,3466.13
Tube Light,1320,8,11.3,10,1191.28
Tube Light,454,13,8.7,28,1435.31
Tube Light,1146,5,3.2,24,446.33
Ceiling Fan,431,9,2.1,10,81.07
Lab Equipment,916,9,7.9,19,1239.67
Lab Equipment,115,9,10.9,20,225.6
LED Light,963,13,10.1,16,2025.77
Lab Equipment,425,15,6.8,11,476.68
WiFi Router,51,17,11.8,23,235.29
AC (1.5 Ton),1350,14,2.8,23,1233.76
Projector,855,15,7.2,29,2693.06
AC (1.5 Ton),1750,15,3,16,1263.42
Computer,1755,16,2.9,17,1407.68
Computer,1806,14,4.7,20,2379.38
Tube Light,1396,18,3.2,11,870.78
Computer,777,6,7,16,524.33
AC (1.5 Ton),973,4,7.1,10,277.21
Heater,1721,1,6,17,176.36
Smartboard,1060,13,3.4,21,980.55
Lab Equipment,488,3,8,11,128.48
Ceiling Fan,358,8,2.2,21,132.14
Tube Light,659,4,6.7,16,283.51
Smartboard,1651,5,7.5,18,1116.57
Projector,515,1,3.7,15,28.26
Smartboard,157,3,4.9,16,36.88
LED Light,67,5,9.3,26,81.11
Projector,197,19,11.8,20,883.93
Water Cooler,1317,3,5.5,25,546.18
WiFi Router,1558,1,7.9,24,294.71
Tube Light,1714,18,4.1,24,3070.99
Computer,1601,6,11.6,29,3236.04
Ceiling Fan,1401,19,6.1,16,2578.74
Smartboard,1620,3,11.7,24,1368.49
Water Cooler,1700,4,11.8,20,1600.59
Lab Equipment,241,14,2.2,17,125.52
AC (1.5 Ton),28,19,8.6,11,50.42
Ceiling Fan,1837,6,4.9,15,816.77
Projector,11,3,3.3,12,1.32
WiFi Router,1335,6,6.4,16,825.54
Computer,1965,6,11,24,3099.34
Ceiling Fan,1978,2,11.8,13,605.54
Ceiling Fan,1335,6,5.9,26,1236.45
Lab Equipment,1329,1,4.9,21,135.53
Fridge,746,5,9.8,26,946.41
Printer,933,1,11.4,18,192.02
Printer,1582,8,9.7,18,2206.55
Projector,1186,1,1.7,16,31.44
Smartboard,1696,20,4.3,20,2938.82
Computer,85,15,11.8,14,210.68
Computer,335,2,3.7,27,66.25
Ceiling Fan,1242,5,7,17,734.17
Projector,292,8,6.7,13,204.12
WiFi Router,1346,15,10.5,17,3596.96
Smartboard,812,15,5,16,970.89
Fridge,1139,14,3.2,21,1076.45
Ceiling Fan,1622,10,1.9,10,303.64
WiFi Router,349,7,5.9,30,435.5
Tube Light,406,10,4.9,16,318.98
Smartboard,1192,16,1.4,15,400.26
WiFi Router,774,3,5.2,29,351.25
Water Cooler,1590,17,11.9,10,3225.4
Projector,571,9,2.2,18,202.25
Lab Equipment,1848,11,9.7,12,2373.98
Smartboard,109,19,1.2,24,58.97
Lab Equipment,1737,4,6.5,26,1169.24
Tube Light,102,10,8.1,27,222.16
Fridge,1009,1,7.8,15,117.84
Projector,1315,9,9.1,19,2056.08
WiFi Router,221,13,2.3,15,98.02
LED Light,534,18,8.1,16,1249.76
AC (1.5 Ton),1641,16,9.5,18,4501.39
Projector,173,20,1.4,18,89.99
Smartboard,1316,8,7.9,18,1496.14
Heater,1205,10,5.3,30,1926.08
Printer,818,8,11.7,22,1687.06
AC (1.5 Ton),1602,3,8,20,772.57
Ceiling Fan,1822,11,11,25,5513.31
Ceiling Fan,860,5,2.5,20,217.84
Printer,1790,14,7.8,30,5832.61
Projector,663,10,10.4,29,2006.29
Tube Light,1216,16,7.6,11,1615.88
Printer,840,20,4,15,996.76
Projector,210,18,9.8,13,482.16
Fridge,1363,1,2.6,25,88.74
Fridge,1340,8,4.9,16,840.24
WiFi Router,1237,12,10.1,22,3283.91
Tube Light,1804,5,2.5,14,312.26
Heater,201,17,4.3,19,279.65
LED Light,79,7,2.7,30,45
Ceiling Fan,1726,1,3.7,16,100.94
Fridge,160,12,11.1,30,641.13
Computer,580,4,8.1,18,340.21
Computer,879,20,2.1,23,857.02
Ceiling Fan,914,3,1.5,17,70.22
Fridge,1294,15,2.9,11,613.63
Heater,483,1,1.3,11,6.89
Heater,577,13,6.7,22,1111.99
Tube Light,479,6,1.2,25,87.08
Smartboard,1609,11,6.9,12,1475.99
Printer,1762,5,7.6,25,1668.28
AC (1.5 Ton),1803,5,1.4,14,181.77
Computer,477,14,3.3,19,415.34
AC (1.5 Ton),1389,15,6.1,16,2018.12
Smartboard,1171,3,4.1,28,400.08
Smartboard,1590,4,4,22,559.2
Lab Equipment,213,17,7.5,26,703.86
AC (1.5 Ton),10,8,7.3,21,12.24
Tube Light,544,19,11.4,22,2581.04
AC (1.5 Ton),568,17,7.4,13,931.18
AC (1.5 Ton),531,9,9.5,20,910.19
Smartboard,1632,19,7.8,22,5325.26
Computer,289,15,8.9,11,426.12
WiFi Router,1084,6,6.5,12,505.67
Fridge,947,19,2.8,25,1280.98
Tube Light,1373,18,2.5,26,1619.23
AC (1.5 Ton),917,13,8.8,18,1878.11
Printer,407,7,7.1,18,365.38
Printer,323,2,3.1,19,38.39
Ceiling Fan,616,6,11,21,851.08
Fridge,1997,9,10.1,13,2364.64
Ceiling Fan,933,19,11.5,28,5732.87
Water Cooler,119,18,10.8,13,301.82
LED Light,133,16,2,12,50.69
Water Cooler,152,17,7,21,378.4
WiFi Router,1805,6,7.3,28,2200.36
AC (1.5 Ton),763,19,3.3,19,915.02
Smartboard,1786,16,4.8,17,2331.42
Printer,471,19,2,26,460.82
AC (1.5 Ton),1157,17,4,22,1723.43
Ceiling Fan,159,14,3.6,10,80.62
WiFi Router,537,9,7.5,22,795.39
AC (1.5 Ton),1956,15,5.2,28,4244.96
Computer,336,13,7.1,29,896.18
Computer,846,17,4.8,12,831.2
Water Cooler,1091,17,11.4,26,5495.8
Projector,1030,16,3.7,19,1159.17
Heater,1464,1,6.6,27,261.11
Water Cooler,560,16,5.7,26,1337.23
Computer,1347,6,11.9,20,1915.89
Heater,1351,14,6.4,20,2424.4
Fridge,1078,6,1.6,22,232.37
Ceiling Fan,789,18,3.7,27,1400.45
Projector,1865,3,11.3,23,1457.25
Lab Equipment,232,4,5.6,12,62.21
AC (1.5 Ton),1343,5,11.9,30,2403.78
Lab Equipment,1750,3,10.5,10,549.28
Tube Light,241,6,8.1,13,152.43
AC (1.5 Ton),1795,8,6,17,1464.33
Printer,1680,5,1.4,26,305.79
Lab Equipment,244,4,1,10,10.01
WiFi Router,973,2,11.9,22,508.41
Computer,685,18,9.8,18,2179.18
LED Light,1613,5,7.3,26,1525.87
Water Cooler,885,16,1,26,369.36
Computer,1622,6,5.2,15,758.43
Water Cooler,1980,13,7.9,18,3637.07
Tube Light,240,3,9.9,10,71.21
Tube Light,1776,20,2.5,21,1834.22
Tube Light,1519,10,8.8,23,3063.34
Water Cooler,1451,20,1.2,23,774.72
Ceiling Fan,1817,19,11,27,10208.27
Smartboard,1973,19,4.9,24,4433.96
LED Light,1054,9,1.3,16,191.85
Lab Equipment,139,20,2.2,27,163.04
Tube Light,1006,11,1.7,19,362.05
Water Cooler,488,17,5.3,10,437.94
AC (1.5 Ton),429,12,11.8,16,975.09
Tube Light,1467,16,2.4,18,1002.19
Heater,1466,4,7.5,27,1195.04
Ceiling Fan,772,15,1.4,12,189.6
Fridge,422,5,1.6,28,92.89
LED Light,867,6,2.7,28,389.12
Projector,1261,13,3.3,25,1366.29
Smartboard,1600,8,9.3,12,1431.48
Projector,1110,19,5.9,28,3478.99
WiFi Router,904,2,10.7,10,193.93
Smartboard,758,6,8.8,27,1085.24
Fridge,1115,1,11.1,12,148.09
Computer,615,13,5.6,10,451.36
LED Light,1557,16,4.8,17,2029.29
Fridge,1915,9,11.4,15,2950.59
Smartboard,1730,10,3.7,19,1216.62
Projector,1065,14,10.1,22,3317.21
Ceiling Fan,198,7,1.3,27,49.91
Lab Equipment,1672,7,1.8,29,611.76
Smartboard,805,11,3.1,13,359.09
Printer,1683,18,2.2,23,1524.41
Ceiling Fan,1178,1,2.1,14,34.2
Computer,957,17,5.8,23,2160.88
Lab Equipment,1218,3,2.1,27,203.83
Printer,1987,2,8.3,19,623.42
Water Cooler,638,4,2.2,21,118.72
Ceiling Fan,244,1,10.1,24,59.12
Tube Light,1865,12,5.7,18,2296.95
Water Cooler,1945,19,2.3,12,1028.23
Tube Light,847,15,5.4,14,967.73
AC (1.5 Ton),67,16,4.2,27,123
Tube Light,1404,3,2.2,24,224.61
AC (1.5 Ton),287,11,6.6,13,271.15
Smartboard,1298,1,3.7,28,135.18
Water Cooler,1388,17,7.4,12,2093.55
Projector,1390,3,2,13,110.56
Projector,106,8,5,18,76.96
Printer,765,13,7.8,21,1619.56
Fridge,1465,17,11.3,16,4508.83
Ceiling Fan,1283,12,10.2,16,2519.97
Water Cooler,1431,14,5.4,21,2271.35
Smartboard,831,7,9.9,23,1320.09
Tube Light,1310,4,5.1,17,451.33
Printer,1797,18,8.3,22,5886.93
Lab Equipment,989,16,7.7,23,2799.73
Printer,1267,11,6.6,21,1919.21
Water Cooler,1231,11,6.8,17,1565.05
Ceiling Fan,1791,9,5.2,30,2492.44
Tube Light,1791,20,11.9,10,4263.89
Computer,633,8,9.2,21,979.82
WiFi Router,921,8,1.8,13,169.22
Ceiling Fan,733,17,9.6,29,3456.25
Water Cooler,533,5,3.5,14,131.35
Water Cooler,1554,19,10.5,18,5568.08
Tube Light,1166,14,7.4,13,1561.49
Tube Light,837,17,5.7,22,1779.17
WiFi Router,1297,17,9.9,25,5458.75
Projector,608,1,11.9,26,188.24
Tube Light,755,9,2.9,23,457.84
Lab Equipment,1775,17,8.7,13,3412.22
AC (1.5 Ton),610,9,2.4,12,160.09
Lab Equipment,299,13,3.1,19,226.64
Lab Equipment,547,8,9.9,10,432.49
Smartboard,1257,19,1.2,11,324.88
